,index,timestamp,address,sens1,sens2,sens3,sens4
14809,26209,17.473000049591064, John/eeg, 960.586080586, 851.794871795, 861.062271062, 865.091575092
14811,26211,17.473999977111816, John/eeg, 961.391941392, 848.168498168, 865.494505495, 870.32967033
14813,26213,17.473999977111816, John/eeg, 975.897435897, 847.362637363, 864.688644689, 880.402930403
14815,26215,17.473999977111816, John/eeg, 974.285714286, 847.765567766, 856.63003663, 875.164835165
14817,26217,17.473999977111816, John/eeg, 974.688644689, 848.974358974, 857.838827839, 869.523809524
14819,26219,17.473999977111816, John/eeg, 979.926739927, 846.95970696, 858.241758242, 858.241758242
14827,26227,17.513000011444092, John/eeg, 985.164835165, 843.736263736, 856.227106227, 846.95970696
14829,26229,17.513000011444092, John/eeg, 975.494505495, 846.95970696, 860.256410256, 853.80952381
14831,26231,17.513999938964844, John/eeg, 973.076923077, 850.586080586, 860.659340659, 867.509157509
14853,26253,17.516000032424927, John/eeg, 990.0, 852.600732601, 861.062271062, 857.838827839
14855,26255,17.51699995994568, John/eeg, 1006.11721612, 854.615384615, 862.673992674, 858.644688645
14857,26257,17.51699995994568, John/eeg, 1004.1025641, 849.377289377, 858.644688645, 863.47985348
14859,26259,17.51699995994568, John/eeg, 971.062271062, 843.736263736, 858.241758242, 849.377289377
14861,26261,17.51699995994568, John/eeg, 954.542124542, 844.542124542, 855.421245421, 850.183150183
14863,26263,17.51799988746643, John/eeg, 977.912087912, 849.377289377, 848.571428571, 861.062271062
14865,26265,17.51799988746643, John/eeg, 980.32967033, 846.556776557, 849.377289377, 868.315018315
14867,26267,17.51799988746643, John/eeg, 949.706959707, 838.095238095, 851.794871795, 880.402930403
14869,26269,17.51900005340576, John/eeg, 967.838827839, 832.454212454, 850.586080586, 869.523809524
14877,26277,17.554999828338623, John/eeg, 986.776556777, 834.871794872, 845.347985348, 851.794871795
14879,26279,17.555999994277954, John/eeg, 963.003663004, 839.706959707, 848.974358974, 851.794871795
14881,26281,17.555999994277954, John/eeg, 956.556776557, 840.10989011, 862.271062271, 853.406593407
14883,26283,17.555999994277954, John/eeg, 980.32967033, 840.915750916, 859.853479853, 854.615384615
14885,26285,17.555999994277954, John/eeg, 995.641025641, 842.527472527, 857.435897436, 862.271062271
14887,26287,17.556999921798706, John/eeg, 992.014652015, 844.945054945, 861.465201465, 873.553113553
14889,26289,17.556999921798706, John/eeg, 981.135531136, 844.945054945, 859.450549451, 878.388278388
14891,26291,17.556999921798706, John/eeg, 946.886446886, 841.721611722, 861.465201465, 875.164835165
14893,26293,17.556999921798706, John/eeg, 942.454212454, 838.901098901, 859.047619048, 868.315018315
